state,county,latitude,longitude,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
AK,ALEUTIANS EAST BOROUGH,54.13,165.88,1.14,2,2,2,2,2,3,3,4,4,4,4,7.43,10.14,11,11.29,12.86,14.43,15,15,15.14,17.43,19.43,21,33.14,40,40,39,39,38,38,38.57,55.86,81.71,222.86,344,354.29,359.71,362,362,362.71,363,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,ALEUTIANS WEST CENSUS AREA,51.9,176.67,2.57,3.86,4,4,4.86,6,35.29,86.14,88.43,88,88.71,89.14,91.57,92.14,93,93.43,95.14,95,95.29,97.57,97.43,99.43,102.43,105,106.14,107.57,120.29,156.43,168.14,182.43,202,222.29,251.86,288,325,361.71,402,489.57,557.43,625,640.14,645,649.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,ANCHORAGE,61.22,149.85,35.86,71.14,108.29,143.43,164.14,180.14,191.71,198.86,206.71,215.14,265,322.29,365,420.57,527.14,682.71,904.71,1222.29,1733,2155.14,2450.29,2728.86,2969.86,3266.14,3552.86,3844.57,4168.71,4653.14,5268,5981.57,6768.71,7941.29,9332.86,11244.86,13735.29,15841.86,17542.71,19470.14,21046.14,22057.29,22800.86,23615,24293.14,24759.71,25167.43,25499.14,25819.57,26097.57,26363,26671.57,27028.71,27371,27808.29,-1,-1
AK,BETHEL CENSUS AREA,60.78,161.79,0.71,1,1,1,1,1.14,2,2.57,3,3.43,6,8.57,11.43,13.57,17.71,19,20.57,23.86,25.86,37.86,56.71,64.14,77.71,90,105,118.71,147.43,207.71,297.71,418.14,556.14,799.71,1017.29,1299.29,1608.86,1818.29,2004.29,2117.29,2315,2740.71,2856.14,3038.29,3238.29,3366.71,3472.43,3511.14,3549.57,3575.71,3616,3669.86,3731,-1,-1,-1,-1
AK,BRISTOL BAY PLUS LAKE AND PENINSULA,58.75,156.54,0.57,1,1.57,3.86,7.57,18.57,38.14,50.86,62.57,67.57,68.43,72.71,75.86,76,75.86,76.29,81.71,87.86,90.86,93.86,95,96.86,101.57,107.29,114.71,122.71,136.86,143.43,145.29,151.29,154.71,156.71,157.29,158.86,160,166.29,168,167.29,173.14,176.86,176,176,176,176,182.86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,JUNEAU CITY AND BOROUGH,58.3,134.42,1.14,6.71,13.29,17.86,25.14,27,27,27.86,29.71,31.14,33,34.71,40.14,42,47.43,50.71,56.71,88.57,121.71,151.71,181.71,222.14,242.43,257.29,281.29,322.29,353,371.86,384.86,407.29,448.57,509,589.71,655.14,737.57,791.29,840.14,899.43,944.57,978.29,1013.43,1039,1055.43,1081.57,1108.29,1144,1172.71,1182.71,1203,1221,1237.14,1247.86,1255.14,-1,-1
AK,DENALI BOROUGH,63.33,148.33,0.29,1,1,1,2.71,3.86,4,4,4,4,4.57,5,5,6,11.43,14.43,17.29,22.57,28.71,32,35.14,38.86,41.14,43.57,49.57,56.14,59,59,59,61,62.14,65.71,67,67,67.29,70.29,73,74.43,76.14,79.86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,DILLINGHAM CENSUS AREA,59.24,158.62,0.43,1,1,2.86,15.71,20.43,21,21.14,21,21.71,22.71,24.86,26.86,26,26,26.57,28.14,29.43,30.14,32.14,37.43,47.29,59.71,65.86,79.29,90.57,98.43,103.43,107.86,110.43,114.29,123.29,140.57,150.14,160.29,167.29,179.29,190.71,196.86,202,206.57,207,207,207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,FAIRBANKS NORTH STAR BOROUGH,64.81,147.72,16,41.29,70.57,79,79.14,81.57,83.14,85,85,85,85.43,89.86,108.86,136.57,165.86,215.29,307.14,373,424.29,461.57,501.86,568,633.43,735.71,856.43,971.29,1078.86,1227.14,1485.29,1714,1913.29,2183.29,2441.86,2694.86,3012.57,3317,3565.86,4038,4470.86,4685,4904.71,5183.57,5478.57,5673,5788.71,5869.29,5953.43,6029.57,6147.86,6238.29,6327.29,6408.57,6481.86,-1,-1
AK,HAINES BOROUGH,59.16,135.86,0.71,1.29,4.57,5.43,6,6.43,7.14,8,8,8.86,10,10,9.43,9,9.43,10,10,10,11.57,11.43,12.29,14,15.43,16,16,16.71,17.14,18.57,20,20,20.71,20,21,22,23,23.43,24,24,24.86,25,25,25.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,KENAI PENINSULA BOROUGH,59.82,151.59,2.43,7.14,11.43,14.29,17.71,18,20.86,22.86,24.57,27.71,52.29,89.14,117.14,127.71,151.43,185.71,224.86,269.71,370.14,452,486.43,525.14,558.43,570,588.14,602.29,610.43,621.71,641.57,694.43,755.86,902.57,1131.43,1394.71,1785.86,2172.43,2614.14,2991.29,3252.71,3470.14,3578.57,3648.57,3742.43,3811.71,3855.57,3878.57,3902.14,3928.57,3949.14,3971.43,4003.14,4031.29,4055.86,-1,-1
AK,KETCHIKAN GATEWAY BOROUGH,55.61,131.58,2,12.14,14,14.43,15.14,16,16,16,16,16,16,16,19.43,25.14,28.43,30.14,32,35,43.14,48.43,51.57,54.29,57.43,60.71,64.57,64.71,67.86,68.14,69,72,75.86,78.71,85.86,119,162.71,181.43,191.14,206.29,217.71,224.29,228.57,239,252,263.71,267.43,273.86,285.71,300.43,326,348.57,360,363,368.71,372.43,-1
AK,KODIAK ISLAND BOROUGH,57.9,153.04,1,1,1,1,1,1,1,2,3.86,5.43,7,9,11.14,13.29,14,20.43,33.43,50.57,56,57.14,61.57,63.29,64.29,66,74.71,84.71,90.43,95.71,120.71,140,166.86,218.29,279,466.86,684.29,806.86,885.57,926,965,997.71,1018,1030.29,1039.43,1042.86,1051.14,1053.43,1052.86,1056,1060.14,-1,-1,-1,-1,-1,-1
AK,MATANUSKA-SUSITNA BOROUGH,61.58,149.44,0.29,2.14,3.86,8.86,16.29,20,21,21,21.14,22.86,25.57,34.29,41.71,53,69.71,106.29,135.71,173.86,220.29,284.14,338.43,380.57,428.71,474.43,504.57,537,575.86,603.57,653,723.29,816.29,990.86,1401.29,1812.71,2213.14,2483,3029.71,4432.29,5265,5714,6062,6393.43,6758.14,7040.57,7265.86,7426.71,7628.57,7906,8247.14,8515.14,8807,9103,9379.86,9661.71,-1
AK,NOME CENSUS AREA,63.47,162.11,0.86,1,1,1,1,2,3,3,4.43,5.86,7.71,10.43,14.14,18.29,19.57,20,22,25.86,31.71,39.29,47.57,52.29,56.43,67.57,82.86,101.86,110.86,123.14,135.29,148.29,160.57,178.57,216.86,242.71,251,262.86,268.43,277,282.71,292.57,302.29,308,313.14,319.86,321.71,324.29,327.43,329,331.29,334.71,-1,-1,-1,-1,-1
AK,NORTH SLOPE BOROUGH,68.15,151.71,0.86,1,1,3,4,4,4.71,6.71,10,15.57,19.86,26.71,35.29,41,51.29,65.14,88,123.29,149.14,165.14,202.71,238.29,271.29,307.29,367,399.14,448.14,539.43,642.43,735,778.57,808.43,852.86,939.14,966.57,974.29,979.29,986.86,997.86,1001.57,1009.29,1014.43,1023.86,1031.71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,NORTHWEST ARCTIC BOROUGH,65.97,161.13,1.57,2,2.14,3.86,4,4,5,6.29,8,13.57,28.57,39.29,44.29,59.29,65.43,69.43,73.29,87.43,107.57,139.43,172.86,208.14,227,255.29,283.14,305.14,332.29,355.43,369.57,383.43,389.14,397.29,403.57,467.14,515.29,553.71,569,571.71,575.29,584.29,586,587.29,591.86,595,596.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,PETERSBURG BOROUGH,56.79,134.19,1,1.14,2,2.86,3,3,3,3,3,3,3,3.86,5,7.57,8.86,9,9,9,9.57,10.86,11,11,11,11,10.14,10.43,11,11.86,14,16.43,18.29,19.43,20,20.43,22.57,25.86,25,25.14,26.14,32.14,39.57,43,43,44.29,45.57,47,70.86,124.29,139,144.86,145.29,-1,-1,-1,-1
AK,PRINCE OF WALES-HYDER CENSUS AREA,55.68,132.19,1,2,2,2,2,2,2,2,2,2.29,2.57,3,3,3,3,4.57,7.57,9,15,19.57,23.86,27.43,29.57,30,31,31.14,31,33,33.57,34.14,37.57,42.71,44.29,49.71,56.57,62.71,66.43,68.29,67.29,69.14,70,69,69,69.43,70,70,71.43,74.57,76,77,-1,-1,-1,-1,-1
AK,SITKA CITY AND BOROUGH,56.73,135,0.14,1,1,1,1,1.86,2.57,6.57,12,14.43,17.29,18,21,26.43,30.43,34.14,39.43,46.86,49.14,51,52.43,54.14,58.86,67.14,69,69.71,71.14,76.86,89,112.14,142,173.43,210.71,228.57,246.86,260.71,265.86,269.43,281.86,291,294,297.71,299,301.29,304.86,310.71,314.14,315.43,317.43,-1,-1,-1,-1,-1,-1
AK,SKAGWAY MUNICIPALITY,59.57,135.35,1,6.29,7.86,7,7,8.43,9.43,11,12.43,15,15.43,15.86,15,15,15,15,15,16,18,19,19,19,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,SOUTHEAST FAIRBANKS CENSUS AREA,64.04,145.73,1,1,1,1,1.29,2.14,3,3,3,4,4.86,7,11,16,21.29,23.29,25.43,26.29,28.71,30.43,32,32.29,33.14,34.14,35.57,39.86,45.29,47.29,59.57,71.57,89.43,109.86,161.57,236.57,286.71,333.29,363.86,384.71,401.14,406.14,410.71,410.86,420.86,433.29,441.43,442.14,443.43,455.71,493.57,528.43,576.57,-1,-1,-1,-1
AK,VALDEZ-CORDOVA CENSUS AREA,61.45,143.15,0.29,1,1,2,5.43,13,13.14,15.71,20.57,25.86,43.29,62.71,82.86,93.71,102.71,111.43,118.43,121.43,123,123,123.86,125.71,130,140,150.86,162.29,178.29,201.86,221,243.43,257.29,283.86,300.71,314.71,331.57,360.14,379.86,397,413.71,442.57,451,457.71,467.57,485.43,501.57,513.14,528.86,-1,-1,-1,-1,-1,-1,-1,-1
AK,WRANGELL CITY AND BOROUGH,55.95,131.96,0.43,1.86,3.86,7.71,8,8,8,8,10.14,14.57,14,14.71,16.71,18,18,19,19,19,19,19,19,19,19,19.29,19,19.14,21.14,22,23.29,23.14,24,24,24.43,24,24.57,25,25,25.86,26.86,28,29,29.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
AK,YAKUTAT PLUS HOONAH-ANGOON,59.51,139.71,0.14,4.43,7.43,10,12,12.71,22,24.71,26.14,28.57,29.86,30.71,31.14,33.71,36.86,37,38.43,41.43,45.57,48,49,51,51,51,55.29,58.14,60.14,62,63,63,63.14,64.71,65.57,65.57,68,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
