State,Abbrev,Code,Color,R,G,B
Alabama,Ala.,AL,#CC3D44,204,61,68
Alaska,Alaska,AK,#E67378,230,115,120
Arizona,Ariz.,AZ,#FFA6AA,255,166,170
Arkansas,Ark.,AR,#FFDF81,255,223,129
California,Calif.,CA,#A6BEFF,166,190,255
Colorado,Colo.,CO,#7391E6,115,145,230
Connecticut,Conn.,CT,#3D63CC,61,99,204
Delaware,Del.,DE,#CC3D45,204,61,68
District of Columbia,D.C.,DC,#E67379,230,115,120
Florida,Fla.,FL,#FFA6AA,255,166,170
Georgia,Ga.,GA,#FFDF82,255,223,129
Hawaii,Hawaii,HI,#A6BEFF,166,190,255
Idaho,Idaho,ID,#7391E7,115,145,230
Illinois,Ill.,IL,#3D63CC,61,99,204
Indiana,Ind.,IN,#CC3D46,204,61,68
Iowa,Iowa,IA,#E67380,230,115,120
Kansas,Kans.,KS,#FFA6AA,255,166,170
Kentucky,Ky.,KY,#FFDF83,255,223,129
Louisiana,La.,LA,#A6BEFF,166,190,255
Maine,Maine,ME,#7391E8,115,145,230
Maryland,Md.,MD,#3D63CC,61,99,204
Massachusetts,Mass.,MA,#CC3D47,204,61,68
Michigan,Mich.,MI,#E67381,230,115,120
Minnesota,Minn.,MN,#FFA6AA,255,166,170
Mississippi,Miss.,MS,#FFDF84,255,223,129
Missouri,Mo.,MO,#A6BEFF,166,190,255
Montana,Mont.,MT,#7391E9,115,145,230
Nebraska,Nebr.,NE,#3D63CC,61,99,204
Nevada,Nev.,NV,#CC3D48,204,61,68
New Hampshire,N.H.,NH,#E67382,230,115,120
New Jersey,N.J.,NJ,#FFA6AA,255,166,170
New Mexico,N.M.,NM,#FFDF85,255,223,129
New York,N.Y.,NY,#A6BEFF,166,190,255
North Carolina,N.C.,NC,#7391E10,115,145,230
North Dakota,N.D.,ND,#3D63CC,61,99,204
Ohio,Ohio,OH,#CC3D49,204,61,68
Oklahoma,Okla.,OK,#E67383,230,115,120
Oregon,Ore.,OR,#FFA6AA,255,166,170
Pennsylvania,Pa.,PA,#FFDF86,255,223,129
Rhode Island,R.I.,RI,#A6BEFF,166,190,255
South Carolina,S.C.,SC,#7391E11,115,145,230
South Dakota,S.D.,SD,#3D63CC,61,99,204
Tennessee,Tenn.,TN,#CC3D50,204,61,68
Texas,Tex.,TX,#E67384,230,115,120
Utah,Utah,UT,#FFA6AA,255,166,170
Vermont,Vt.,VT,#FFDF87,255,223,129
Virginia,Va.,VA,#A6BEFF,166,190,255
Washington,Wash.,WA,#7391E12,115,145,230
West Virginia,W.Va.,WV,#3D63CC,61,99,204
Wisconsin,Wis.,WI,#CC3D51,204,61,68
Wyoming,Wyo.,WY,#E67385,230,115,120
