State,West,East,North,South
AL,88.5,84.866667,35,30.25
AK,173.5,130,71.5,51.25
AZ,114.86667,109,37,31.03333
AR,94.616667,89.616667,36.5,33
CA,124.41667,114.11667,42,32.5333
CO,109.11667,102,41,37
CT,74.05,71.75,42.05,41
DE,75.8,75,39.85,38.45
DC,77.116667,76.866667,39,38.75
FL,87.616667,80,31,24.5
GA,85.616667,80.75,35,30.35
HI,160.25,154.75,22.23333,18.86667
ID,117.25,111,49,42
IL,91.5,87.5,42.5,37
IN,87.616667,84.75,41.75,37.866667
IA,96.616667,90.116667,43.5,40.366667
KS,102.5,94.583333,40,37
KY,89.583333,81.95,39.35,35.816667
LA,94.05,88.816667,33.016667,28.916667
ME,71.133333,66.883333,47.466667,42.966667
MD,79.5,75,40.25,37.866667
MA,73.516667,69.916667,42.866667,41.216667
MI,90.5,82.366667,48.283333,41.7
MN,97.25,89.5,49.383333,43.5
MS,91.633333,88.116667,35,30
MO,95.783333,89.1,40.616667,36
MT,116.05,104.033333,49,44.366667
NE,104.05,95.316667,43,40
NV,120,114.05,42,35
NH,72.566667,70.583333,45.35,42.7
NJ,75.55,73.866667,41.366667,38.916667
NM,109.05,103,37,31.333333
NY,79.766667,71.866667,45.016667,40.5
NC,84.333333,75.416667,37.6,33.85
ND,104.05,96.55,49,45.933333
OH,84.816667,80.516667,42,38.4
OK,103,94.433333,37,33.616667
OR,124.583333,116.45,46.266667,42
PA,80.516667,74.683333,42.266667,39.516667
RI,71.916667,71.116667,42.01667,41.13333
SC,83.366667,78.516667,35.21667,32
SD,104.05,96.433333,45.93333,42.48333
TN,90.316667,81.633333,36.68333,34.96667
TX,105.65,93.5,36.5,25.83333
UT,114.05,109,42,37
VT,73.6,71.466667,45,42.71667
VA,83.666667,75.25,39.63333,35.53333
WA,124.76667,116.91667,49,45.53333
WV,82.65,77.733333,40.63333,37.2
WI,92.9,86.75,47.11667,42.5
WY,111.1,104,45,41
