state,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,,,,,
AL,34,250.86,930.43,2077.86,3750.86,5149.29,6563.14,8154.14,10195.86,12249.43,15070.71,18224.29,21015.86,26089.71,30770.43,37000,45068.43,55571,68658.57,80922,92303.57,102431.71,109373.43,116779,126072.43,133010.14,139366.71,145673.14,153078.86,159690,166248.71,173630.43,185308.71,194931.71,205368.71,219536.86,234829.57,250672.43,273666.86,298950,326578.86,349894.14,376320.14,404680.43,424795.57,443919.57,461068.57,473529.14,481582.71,487980.57,494457.71,500355.14,506594.14,511791.86,,,,,,
AK,4.71,37.57,120.43,195,273.71,321.43,344.43,367.29,380.57,396.86,413.86,482.43,609.57,743.43,885.14,1100.43,1401.57,1819.86,2392.71,3180.14,4009.86,4521.86,5105,5588.43,6078.14,6633.57,7195.43,7761.57,8480,9463.57,10741.86,12139.43,14279.86,16964,20185,24225.14,28181.86,32442.29,37285.29,41271.86,43967,45740.14,48020.57,50103.29,51743.14,53060.57,54133.29,55295,56266.14,57272.71,58206.57,59179.86,60128,61037.71,,,,,,
AZ,21,256.71,1121.14,2406.29,3678.29,5099.71,6766.43,8977.43,11510.14,14240.71,16622.29,20584.57,27781.86,37869.43,55206.57,76633.86,101832.86,125371.57,145898.57,163952.29,179373.86,187886,194123.57,198618.86,202115.57,205935,209097.43,214495,217693.29,221418.71,226270,232114.71,239161.14,248482.14,261082,278763.29,303822.71,331974.71,371547.14,418553.71,462764.29,504159.71,560862.43,628047.29,681282.57,728551.29,762460.86,784692.14,798791.86,809779.57,818356.43,827012.71,833268.43,836698.71,,,,,,
AR,24.43,210.29,517.43,925.86,1414.57,2068.14,3057.71,3487.43,4045,4856.71,6047.57,7542.29,9740.29,12826.43,16218.86,20310.57,24244,29016.71,33944.29,39458.29,44684.71,49936,53227.71,57065.86,61307.71,66274.71,70924.29,76474.57,82180.71,87691.86,93684.14,99922.71,106903.71,113921.86,123310.43,134749.43,146902,158207,172759.43,187697.14,203775.14,217922.14,236648.14,256872.86,272879.71,285736,297149.29,307818.14,313244,316189.57,321830.71,325124.43,327228.14,328830.86,,,,,,
CA,637,2400.71,7693.29,16386,24635.86,34083.43,45543,57084.57,69760,82407.29,97320.57,115329.29,134719.14,156568.71,185352.14,225649.29,279788,337466.86,402262.86,468303.29,521571.29,575171.14,634195,676341.43,712297,743001.71,766905.14,791700.57,814973,837664.43,860521.86,883583.86,914316,944998.43,986838,1048528,1136807.86,1239404.57,1400870,1632433.43,1929853.71,2199564,2471679.86,2771506.57,3032931,3209235.29,3338725.86,3429139.14,3491951.43,3537747.29,3574089.57,3603975.71,3626214.29,3645662.29,,,,,,
CO,165,797.29,2686.14,5166.29,7613.29,10129,13798.86,16906.43,19818.86,22182.57,24318.29,26539.86,28148.57,29311.29,30742.57,32516.57,34489.86,37413.86,40765.57,44810.71,48213,51150.14,53419.43,55709.43,57855.14,59814.57,62160.14,65948.29,70027,74133.14,79632.57,86985.14,97410.57,113160.29,136240.86,169317.43,203735.29,234936,266266.43,292627.86,313049.29,328729.43,345797.86,364668.29,378381.86,389507.14,399137.14,408614.86,416971.14,424258.14,432041.43,439503.14,446565.14,453621.43,,,,,,
CT,60.14,523.43,2555.43,7016.86,13156,19723.57,25792.57,30101.57,33909.43,37854,40736.14,42576.29,44046.43,45174.86,45802.14,46380.29,46925.29,47469.57,48040.71,49085.43,50010.29,50528.43,51137,51882.57,52812.43,53600.86,54779.43,55936,57075.57,58909.14,61011,63887.14,67780.71,73536.43,81352.14,92944.86,105247.29,117342.14,134396.29,152517.14,166875.86,178681,194252,212929.57,228934.29,242582.86,253641.43,262636.86,269476.29,275524.43,281959.14,287082.86,292657.14,299405.29,,,,,,
DE,13.57,84.71,279.29,821.71,1743.71,2797.57,4168.29,5362.86,6612.57,7868,8903.71,9557.71,9959.14,10336,10800.43,11346.43,12249.57,12887.29,13624.43,14405.71,15066.71,15655.29,16525.29,16908.43,17420.14,18145.43,18965.71,19655.14,20403,21338,22237.57,23169,24122.43,25264.57,26829.14,29124.86,32199.14,35748.86,40715.71,46350,51112.86,55558.86,60361.71,65823.14,70701.71,74961.57,78279.29,80778.43,83139.86,85009.86,86965,88597.14,90623,92394.14,,,,,,
DC,24.43,130.43,435.43,1132.57,1981.86,2932.43,3911.86,5154,6352.43,7297,8203.71,8847.86,9398.43,9785.29,10056.43,10289,10538.43,10906.43,11348,11857.86,12325.29,12811.57,13265.43,13633.14,13998.29,14311.29,14639.86,14980.57,15268,15582.29,16019,16404.86,16835.29,17432,18118.57,19139,20267.29,21562.29,23335.43,25097.57,26764.14,28280.86,29975.29,32027.29,33976.43,35497.86,36951.14,38120.57,38999.57,39760.86,40663.29,41633.86,42611.57,43367.57,,,,,,
FL,194.29,1352.29,5912.14,13572.57,20754.57,27055.29,32101.71,36768.43,41179.57,46287.57,51472.71,57036,65067.43,78016.43,101076,146200.29,206491.86,280009.43,359216.57,432592.57,491404.57,537884.71,576422.43,602920.29,625900.71,647956.14,666303.29,685639.71,702372.43,718502.43,736238.57,757660.29,782855,812483.57,847881.29,891080.14,945000,1001656.57,1066353.86,1135891.29,1213385.57,1283703.43,1378853,1490233.57,1580392.71,1658086.71,1727882.29,1784672.43,1832331.43,1874038.29,1913491,1949045.71,1980703.71,2012674.43,,,,,,
