state,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
AL,0,0.57,14,55.57,106.29,172.29,235,313.14,418.14,500,565.86,637.57,714.71,782,855.86,940.14,1026.57,1152.57,1313.29,1493.14,1645.43,1810.57,1923.71,2028.86,2179,2279.43,2367,2456,2514.29,2577.57,2681.86,2803.86,2882,2980.57,3119,3291.57,3485.71,3632,3921.43,4138.29,4454,4729.43,4922.14,5492.71,6168.29,6839,7852.86,8641.14,9276.43,9654.57,9967.57,10178.43,10339,10453.43
AK,0,0,1.71,3.86,6.29,7,7,7.29,8,8,8,8,8.43,10,10,12,14.29,15,16.14,19,22.43,24.14,26.29,31.14,35,38.71,40.86,42.14,51,54.29,57.29,63.14,65.86,78.14,83.29,92.86,102.43,116.29,139.43,168.57,181.57,193.29,207.86,215.86,227.14,250.14,259.86,269,273.43,278.57,285.43,291.43,292.71,297
AZ,0,3.71,22.29,67.29,124.71,205.71,288.86,382.57,558.14,701.43,810.71,934,1066.57,1216,1390.43,1635.29,1891,2289.86,2836.29,3371.29,3827.14,4210.29,4543.86,4805,5043.57,5224.29,5340.43,5496.43,5631.14,5714.29,5764.43,5833.86,5885.86,6006.29,6178.86,6318.57,6489.57,6681.14,6994.86,7428.86,8048,8568.71,9255.14,10349,11354.57,12382.71,13314.57,14232,15016.43,15584.43,16023.14,16349.29,16568,16776
AR,0,1,7.29,16.43,29.86,41.14,53.29,78.57,93,101.86,117.86,137.14,158.86,186.71,229.57,266.14,294.43,326.14,367.14,415.14,480.43,553.71,611.43,700.29,803.57,906,1052.57,1202.29,1327.29,1446.29,1589.57,1716.86,1835.71,1976.29,2099.86,2218.86,2381.14,2492.29,2705.29,2989,3283.14,3544.86,3807.43,4090.71,4361.86,4654.86,4909.29,5116.29,5275.29,5366.43,5300.71,5341.57,5480.29,5546.14
CA,11,47,164,406.14,751.57,1269.14,1818.43,2331,2846.57,3374,3845.43,4307.57,4727.57,5156.86,5596.14,6029.14,6508.71,7165.86,7841.29,8622.43,9580.29,10539.71,11423.43,12310.71,13096.71,13824.57,14510.14,15133.29,15721.14,16222.71,16640.86,17047,17429,17727.71,18033.71,18346.14,18819.14,19277.86,20142.29,21367.14,23099.14,24758.14,27212.29,30615.71,34110,37776.57,41493.14,44656.43,47307.43,49854.71,52538.57,54455,56521.14,57802.71
CO,2.71,11.71,59.71,160.57,311.86,462,714,871.29,1005.71,1235.29,1354.71,1466.14,1547.14,1611.86,1655.57,1684.71,1704.86,1733.29,1763.14,1806,1850.14,1871.43,1901.43,1927.29,1952,1980.43,2001.57,2030,2053.57,2085.71,2152.57,2208.14,2258.57,2332.71,2448.86,2614.71,2850,3113.14,3523.86,4051.29,4454.29,4728.71,5031.71,5300.57,5468.29,5604.86,5731.14,5839.14,5927.71,5996.71,6047.86,6084,6125.57,6150.86
CT,0.71,11.29,56.57,240.57,658.29,1312.29,2011,2559.29,3023.71,3437.71,3735,3950.86,4087.29,4200.71,4267.71,4318,4338.86,4365.14,4402.29,4419.43,4434.86,4444.43,4455.14,4461.57,4465.86,4471.14,4483.57,4494.71,4504.29,4518,4533.14,4553.57,4589.71,4630.14,4694.29,4761.43,4869.71,5020.71,5216.57,5436.71,5664.14,5880,6152.86,6418,6662,6899.71,7104.57,7271.71,7430.14,7558.86,7649.43,7727,7787.29,7842.29
DE,0,0.14,7.57,16.43,40.29,75.71,127.14,181.14,232.43,296.43,332.57,369.29,401.57,422.71,464.71,508,513.43,518.29,524.43,579.57,585.86,590.86,593.57,602.14,604.86,609,616.29,625.14,634,646.14,656.29,666.43,683.86,710.29,721,737.86,752.86,771.86,794.57,822.57,868.14,903.71,938.57,980.57,1017.71,1052.14,1103.29,1219.57,1292.86,1375.86,1427.14,1476.14,1509.29,1530.57
DC,0,1.57,7.57,23.57,58.14,108,185.71,258,330,391,436.43,467.71,491.14,516.71,535.71,550.43,560.71,569.29,579,582.29,586.14,591.57,597.86,604,606.71,612.29,616.57,620.29,625.14,631,636.71,641.43,643,647,655.14,661,672.57,683.14,699.86,716.86,741.14,771.14,798,822.57,854.86,881.86,917.71,956.29,981.86,997.29,1017.29,1033.29,1041.86,1050.43
FL,4.71,17.57,80.43,260.43,524.43,835,1130.29,1437,1759.14,2019.43,2263.86,2495.29,2738.14,2962.29,3203,3469.57,3803.86,4345.43,5116.57,6034.86,7267.86,8389,9601.29,10476.86,11269.43,11947.14,12736.71,13421,14129,14756.71,15429,16044.29,16478.86,16838.57,17189.57,17598.43,18079,18603.43,19280.14,19993.14,20676.86,21324.43,22088.43,23097.43,24280,25492.57,26694.14,27885.43,28984.71,30071.43,30998.71,31779.86,32359.57,32786.43
GA,2.57,32.14,112.14,292.71,495.86,756.86,986.14,1232.57,1435.14,1630.71,1843.57,2040,2213.29,2465.86,2630.86,2753.14,2837,2979,3162.43,3471.14,3801.71,4203.57,4642.57,5079.14,5541.57,5918,6215.43,6508.43,6809.57,7031.43,7258,7473.43,7652.71,7951.29,8492.14,8765,8984.71,9231.57,9559.86,9834.86,10110.71,10414.86,10696.86,11227.86,12080.86,12986.57,13917.71,14748.71,15548.57,16355.29,16891.71,17403.29,17721.86,18016.57
HI,0,0,0.57,4.43,8.71,10.57,15,16.71,17,17,17,17,17,17,17,17.86,19,20.14,23.29,25,25.71,33.43,40.14,48.14,67.86,86,99.14,119.86,132,155.43,172.14,190.86,211.57,217.57,220,221.29,230.29,241.14,260.43,272.29,280.57,283.43,289.86,306.86,319.71,363.14,407.57,416,423.14,428.86,436.29,442.43,447.57,451.57
ID,0,0.43,7,14.43,33.29,48.43,58.14,65,68.57,74.86,80.14,82.57,84,88.43,90.29,91.71,95.57,105,126.71,161.57,206.86,242.57,279.14,320.43,365.57,392.71,422.43,447.71,463.71,489.57,512.57,540,586.14,645.14,710.86,787.29,872,955.14,1075.14,1207.43,1308.86,1384.43,1470,1553.71,1623.57,1689.71,1737.14,1777.71,1810.14,1836.29,1869.57,1891.86,1923.43,1949.57
IL,0.86,13.57,94.29,347.71,819,1403.86,2048.14,2757.71,3558.14,4322.71,4950.86,5509.14,6105.71,6578.14,6905.14,7121.14,7268,7403.86,7510.43,7624.29,7739.29,7872.14,7999,8139.57,8277,8426.43,8579.29,8723.86,8885.86,9081.71,9280,9539.86,9829,10142.57,10621.86,11268.29,12193.43,13103.57,14294.57,15494.86,16565.14,17512.86,18454.71,19403.71,20132.86,20783,21304,21778.86,22160.14,22496.57,22776.71,23030,23221.43,23372.86
IN,1,13,55.57,189.29,440.57,693.71,968.43,1290.14,1546.86,1792.71,1995.29,2163.71,2320.43,2439.57,2554,2629.43,2706.86,2768.71,2837,2912.86,2986.71,3057.71,3149.29,3233.86,3302.57,3375.86,3449.14,3516.29,3600.43,3694.29,3807,3971.14,4166.29,4398,4676.86,4978.43,5369,5790.71,6339.14,6903.57,7485.86,7967.71,8571.29,9046.86,9395.86,9758.57,10233.86,11871.43,12198.86,12407.29,12596.29,12749,12866.57,12951
IA,0,0.43,6.14,21.29,43.86,80.14,130,196.29,277.71,367,469.86,554.14,619.43,663,689.29,711.29,728.71,760,801.14,839.29,886.86,938.57,991.14,1053.43,1121,1179.57,1232.29,1281.71,1333,1401.43,1481.29,1559.86,1661.57,1759,1879.86,2037.43,2243.71,2447.14,2833.57,3288.71,3603.14,3786.14,3986.57,4176.14,4342.29,4494.71,4851.71,5129.71,5260.29,5376.43,5487.14,5574.29,5650,5682.86
KS,1,2.29,8.71,28.29,64.14,99.29,124.86,151.29,174.71,192,203,218.57,237,246.14,259.29,274.43,288.14,301.29,317.43,340.86,365.29,387.86,412,435.43,455,487.57,551.71,610.43,650.14,710.43,791.14,893.57,985,1051.14,1185.14,1278.86,1450.71,1580.71,1850.29,2134.29,2419,2585.57,2926.43,3237.71,3532.57,3639.57,3820.71,4186.14,4421.57,4653.71,4760.43,4824.29,4830.86,4855.43
