State,StateName,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
AK,Alaska,0.643842826,5.135705937,16.46241858,26.65591317,37.4153333,43.93851369,47.08254448,50.20743768,52.02277372,54.2495677,56.57341654,65.94672918,83.32638457,101.6246437,120.9959743,150.4254694,191.5904011,248.7693853,327.0762564,434.7155677,548.1357948,618.124654,697.8381371,763.9215633,830.8634465,906.789056,983.5936272,1060.983261,1159.19048,1293.641539,1468.379936,1659.423549,1952.013888,2318.927749,2759.228756,3311.503735,3852.375452,4434.763412,5096.786937,5641.739059,6010.156586,6252.539488,6564.267407,6848.968963,7073.131523,7253.220239,7399.857835,7558.660096,7691.412012,7829.007101,7956.662953,8089.708767,8219.316652,8343.671271
AL,Alabama,0.693426824,5.116266264,18.97603293,42.37776058,76.49843928,105.0192885,133.8546271,166.3029235,207.9436122,249.8259805,307.3657225,371.682692,428.6165013,532.097198,627.5600452,754.6115433,919.1664194,1133.365353,1400.285121,1650.39663,1882.522687,2089.085156,2230.660887,2381.696795,2571.235432,2712.729379,2842.37103,2970.990081,3122.029048,3256.862631,3390.626909,3541.176399,3779.353828,3975.614014,4188.475654,4477.43375,4789.327141,5112.440791,5581.410043,6097.057321,6660.545339,7136.058297,7675.014098,8253.419563,8663.665964,9053.698157,9403.45041,9657.582571,9821.834379,9952.318136,10084.4188,10204.69634,10331.94016,10437.94717
AR,Arkansas,0.809529048,6.968312057,17.1459114,30.67992487,46.87415087,68.53128964,101.3223523,115.5618456,134.0378633,160.9352364,200.3963809,249.9264366,322.7608552,425.0252833,537.4391445,673.024822,803.3656261,961.5173815,1124.801014,1307.516658,1480.702855,1654.713162,1763.789497,1890.973039,2031.533857,2196.123738,2350.195374,2534.113216,2723.195741,2905.816945,3104.381199,3311.106686,3542.433836,3774.992014,4086.098037,4465.148499,4867.8443,5242.454447,5724.673637,6219.659726,6752.431238,7221.215824,7841.73326,8511.913299,9042.327136,9468.34188,9846.540398,10200.07065,10379.86562,10477.47203,10664.40067,10773.54361,10843.25357,10896.36239
AZ,Arizona,0.288512385,3.526857824,15.40298929,33.05926031,50.53486761,70.06330923,92.96185028,123.3380828,158.1341877,195.6486287,228.3684061,282.8049229,381.686223,520.2761696,758.4656747,1052.848462,1399.049585,1722.440507,2004.454494,2252.488866,2464.360958,2581.306568,2667.002578,2728.761951,2776.802148,2829.276094,2872.723723,2946.879237,2990.819536,3042.001908,3108.652253,3188.950882,3285.759564,3413.817847,3586.923355,3829.841028,4174.124506,4560.895966,5104.569116,5750.377573,6357.772805,6926.491441,7705.512249,8628.543877,9359.926619,10009.33667,10475.20957,10780.63813,10974.34974,11125.30642,11243.1412,11362.06711,11448.01247,11495.14001
CA,California,1.612159356,6.075866701,19.47065848,41.47071148,62.34997206,86.26047185,115.2630668,144.4731925,176.5529619,208.5615127,246.3049725,291.882565,340.9556076,396.253863,469.1007641,571.0873063,708.1049325,854.0821912,1018.071952,1185.211194,1320.025173,1455.679019,1605.060287,1711.727103,1802.725703,1880.4351,1940.931392,2003.685214,2062.584532,2120.01342,2177.86243,2236.229179,2314.007997,2391.661006,2497.551201,2653.680103,2877.104282,3136.762439,3545.409227,4131.464408,4884.194215,5566.79385,6255.481652,7014.301802,7675.931066,8122.132966,8449.855783,8678.679354,8837.648618,8953.551639,9045.528949,9121.166658,9177.449444,9226.669656
CO,Colorado,2.865212088,13.84487846,46.6446109,89.71222157,132.2041851,175.8892924,239.6161241,293.578834,344.152953,385.1985922,422.2852029,460.8625921,488.7977153,508.9882571,533.8423223,564.6476935,598.91372,649.6887511,707.890933,778.1344726,837.2149722,888.2181784,927.6242217,967.3898925,1004.649979,1038.675327,1079.405967,1145.186895,1216.013375,1287.316175,1382.813347,1510.490149,1691.526925,1965.019581,2365.811873,2940.183922,3537.847368,4079.645255,4623.695721,5081.45989,5436.076424,5708.360828,6004.752779,6332.436319,6570.571389,6763.761006,6930.985202,7095.565068,7240.671217,7367.209402,7502.365623,7631.937634,7754.568711,7877.100635
CT,Connecticut,1.686820724,14.68128653,71.67529571,196.8105232,369.0025515,553.2112843,723.4360095,844.2958449,951.0995889,1061.737807,1142.576741,1194.189696,1235.424525,1267.074993,1284.669088,1300.885174,1316.171461,1331.437553,1347.457021,1376.759571,1402.700259,1417.233171,1434.302484,1455.214405,1481.295335,1503.409403,1536.466209,1568.905953,1600.868878,1652.297276,1711.250735,1791.92138,1901.129138,2062.566913,2281.783767,2606.939077,2952.000498,3291.239667,3769.578438,4277.836258,4680.572981,5011.686296,5448.42533,5972.298163,6421.202276,6804.020546,7114.193892,7366.499808,7558.333733,7727.973372,7908.455617,8052.166908,8208.515612,8397.789294
DC,District of Columbia,3.461570615,18.48107472,61.69757237,160.4777336,280.8165509,415.5060794,554.2848803,730.2879636,900.0976268,1033.936995,1162.411849,1253.683675,1331.69583,1386.511352,1424.93011,1457.883752,1493.226345,1545.369529,1607.937099,1680.180914,1746.412676,1815.31536,1879.624342,1931.726435,1983.465793,2027.815838,2074.37205,2122.64842,2163.375364,2207.908194,2269.787134,2324.460963,2385.450068,2469.999957,2567.282419,2711.870651,2871.741937,3055.234935,3306.477232,3556.160901,3792.302929,4007.212196,4247.301803,4538.056731,4814.237073,5029.813716,5235.733951,5401.434504,5525.983034,5633.852829,5761.721235,5899.244632,6037.779721,6144.899957
DE,Delaware,1.393561479,8.699233079,28.68148751,84.38492284,179.0690557,287.2944574,428.0595709,550.7350857,679.0731635,807.9986527,914.360153,981.5222169,1022.746785,1061.448154,1109.142462,1165.213543,1257.960861,1323.451062,1399.151129,1479.384122,1547.265046,1607.708849,1697.052879,1736.399169,1788.948862,1863.432002,1947.670072,2018.470595,2095.271544,2191.290703,2283.671403,2379.323943,2477.235757,2594.527011,2755.199412,2990.956741,3306.667735,3671.2037,4181.270821,4759.880217,5248.998731,5705.577532,6198.80279,6759.660452,7260.661721,7698.125008,8038.835899,8295.4833,8537.988671,8730.026988,8930.808697,9098.420151,9306.4644,9488.35036
FL,Florida,0.904611133,6.296240614,27.52682929,63.19366887,96.63294601,125.9689976,149.4650484,171.1932221,191.7314194,215.5141857,239.6561146,265.5587039,302.9529135,363.2432504,470.6082396,680.7062122,961.4227979,1303.719428,1672.506605,2014.144088,2287.971819,2504.382608,2683.813616,2807.187228,2914.183696,3016.873426,3102.297463,3192.327525,3270.234802,3345.335824,3427.915008,3527.654194,3644.960361,3782.910509,3947.721727,4148.854882,4399.904888,4663.696971,4964.926519,5288.691681,5649.503809,5976.902641,6419.917517,6938.50367,7358.283184,7720.025206,8044.99231,8309.406294,8531.305835,8725.492309,8909.183495,9074.725657,9222.124798,9370.979959
