State,bothDose,firstDose,Restrictions,Retail,F&D,PersonalCare,HousesOfWorship,Entertainment,OutdoorAndRec,Industries,Closed,,,,,,,,,,
Alabama,19%,30%,Businesses mostly open | Masks not required,Retail stores,"Restaurant dining, bars and breweries",Salons,yes,Entertainment venues,Beaches; gyms,no data to display,no data to display,,,,,,,,,,
Alaska,32%,40%,Businesses mostly open | Masks not required,Retail stores,Restaurant dining; bars,"Hair salons, barbershops, nail salons, etc.",yes,Libraries; theaters; bowling alleys; museums,Gyms; pools,no data to display,no data to display,,,,,,,,,,
Arizona,25%,38%,Some businesses closed | Masks not required,Retail stores,Restaurant dining; bars,"Hair salons, barbershops, nail salons, etc.",yes,Casinos; movie theaters,"Pools, spas; gyms",no data to display,no data to display,,,,,,,,,,
Arkansas,22%,34%,Businesses mostly open | Masks not required,Retail stores,Restaurant dining; bars,"Hair salons, barbershops, nail salons, etc.",yes,"Theaters, stadiums, museums, bowling alleys; casinos; large venues",Campgrounds; gyms; pools,no data to display,no data to display,,,,,,,,,State,
California,25%,44%,Some businesses closed | Masks mandatory | Advised to stay home,Retail stores,Indoor dining in most counties,Personal care services in some counties; hair salons and barbershops; personal care services,yes,"Small amusement parks in some counties; museums, zoos and aquariums in most counties; movie theaters in most counties",Gyms in most counties,"Movie, television and music production",Bars,,,,,,,,,Alabama,
Colorado,26%,42%,Some businesses closed | Masks sometimes required,Retail stores,Restaurant dining; bars in most counties,Salons and personal services,yes,"Museums, indoor events; libraries; museums; indoor events and entertainment","Campgrounds; pools, playgrounds",Offices; manufacturing,no data to display,,,,,,,,,Alaska,
Connecticut,32%,49%,Some businesses closed | Masks mandatory,"Retail stores, malls",Restaurant dining,"Hair salons, barbershops; nail salons; tattoo parlors, spas",yes,"Museums, zoos; casinos; movie theaters; libraries; bowling alleys; indoor performance venues; amusement parks; indoor stadiums",Beaches; gyms; state campgrounds, Offices,Bars,,,,,,,,,Arizona,
Delaware,26%,42%,Businesses mostly open | Masks mandatory | Advised to stay home,"Retail stores, malls",Farmers markets; restaurants; bars,"Barber shops, hair salons, tanning salons; nail salons, tattoo parlors, massage therapy",yes,"Museums, libraries, galleries, live performances; casinos",Beaches; pools; gyms; campgrounds,no data to display,no data to display,,,,,,,,,Arkansas,
Florida,24%,38%,Businesses mostly open | Masks not required,Retail stores,Restaurant dining; bars,"Salons; tattoo parlors, massage therapy, tanning salons, acupuncture",yes,"Museums, libraries; movie theaters, concert halls, bowling alleys; sporting venues","Beaches, trails; gyms",no data to display,no data to display,,,,,,,,,California,
Georgia,20%,33%,Businesses mostly open | Masks not required,Retail stores,Restaurant dining,"Hair salons, barbershops, etc.",yes,"Bowling alleys; theaters, private social clubs; large venues; bars, nightclubs",Gyms,no data to display,no data to display,,,,,,,,,Colorado,
